"0";"2";"23-OCT-2017 09:38:45";"CC11LIST V0734";"C:\Users\Administrator\Desktop\Ì©ÖÝÍò´ïÏ£¶û¶Ù¾Æµê170217\DCR002C.DAT";"ISOLATIN-1";"";"";"";"";"";"";"";"";"";""
"77";"2";"3488";"1504";"4251";"65181";"????";"¾Æµê6²ãÌ½²âÆ÷";"623ÃÅ¿Ú×ßµÀÑÌ¸Ð";"X";"0000";"-";"LOG";"05:001:035:001";"0";"255"
"78";"2";"4252";"1601";"470";"0";"ZONE";"¾Æµê6²ãÌ½²âÆ÷";"Â¥ÌÝÇ°ÊÒÑÌ¸Ð";"A";"1733";"-";"LOG";"05:001:036:000";"0";"255"
"79";"2";"3489";"1504";"4252";"65179";"????";"¾Æµê6²ãÌ½²âÆ÷";"Â¥ÌÝÇ°ÊÒÑÌ¸Ð";"X";"0000";"-";"LOG";"05:001:036:001";"0";"255"
"80";"2";"4253";"1601";"470";"0";"ZONE";"¾Æµê6²ãÌ½²âÆ÷";"621ÃÅ¿Ú×ßµÀÑÌ¸Ð";"A";"1734";"-";"LOG";"05:001:037:000";"0";"255"
"81";"2";"3490";"1504";"4253";"65178";"????";"¾Æµê6²ãÌ½²âÆ÷";"621ÃÅ¿Ú×ßµÀÑÌ¸Ð";"X";"0000";"-";"LOG";"05:001:037:001";"0";"255"
"82";"2";"4254";"1601";"470";"0";"ZONE";"¾Æµê6²ãÌ½²âÆ÷";"619ÃÅ¿Ú×ßµÀÑÌ¸Ð";"A";"1735";"-";"LOG";"05:001:038:000";"0";"255"
"83";"2";"3491";"1504";"4254";"65160";"????";"¾Æµê6²ãÌ½²âÆ÷";"619ÃÅ¿Ú×ßµÀÑÌ¸Ð";"X";"0000";"-";"LOG";"05:001:038:001";"0";"255"
"84";"2";"4231";"1601";"470";"0";"ZONE";"¾Æµê6²ãÌ½²âÆ÷";"618ÃÅ¿Ú×ßµÀÑÌ¸Ð";"A";"171E";"-";"LOG";"05:001:039:000";"0";"255"
"85";"2";"3498";"1504";"4231";"65159";"????";"¾Æµê6²ãÌ½²âÆ÷";"618ÃÅ¿Ú×ßµÀÑÌ¸Ð";"X";"0000";"-";"LOG";"05:001:039:001";"0";"255"
"86";"2";"471";"1701";"1";"0";"SECT";"Ï£¶û¶Ù±ê×¼²ãÌ½²â·ÖÇø";"¾Æµê7²ãÌ½²âÆ÷";"A";"035A";"-";"LOG";"05:002:000:000";"0";"0"
"87";"2";"1605";"1601";"471";"0";"ZONE";"¾Æµê7²ãÌ½²âÆ÷";"701ÑÌ¸Ð";"A";"094E";"-";"LOG";"05:002:001:000";"0";"255"
"88";"2";"1839";"1504";"1605";"64908";"????";"¾Æµê7²ãÌ½²âÆ÷";"701ÑÌ¸Ð";"X";"0000";"-";"LOG";"05:002:001:001";"0";"255"
"89";"2";"1606";"1601";"471";"0";"ZONE";"¾Æµê7²ãÌ½²âÆ÷";"702ÑÌ¸Ð";"A";"094F";"-";"LOG";"05:002:002:000";"0";"255"
"90";"2";"1840";"1504";"1606";"65333";"????";"¾Æµê7²ãÌ½²âÆ÷";"702ÑÌ¸Ð";"X";"0000";"-";"LOG";"05:002:002:001";"0";"255"
"91";"2";"1607";"1601";"471";"0";"ZONE";"¾Æµê7²ãÌ½²âÆ÷";"703ÑÌ¸Ð";"A";"0950";"-";"LOG";"05:002:003:000";"0";"255"
"92";"2";"1841";"1504";"1607";"65332";"????";"¾Æµê7²ãÌ½²âÆ÷";"703ÑÌ¸Ð";"X";"0000";"-";"LOG";"05:002:003:001";"0";"255"
"93";"2";"1608";"1601";"471";"0";"ZONE";"¾Æµê7²ãÌ½²âÆ÷";"705ÑÌ¸Ð";"A";"0951";"-";"LOG";"05:002:004:000";"0";"255"
"94";"2";"1842";"1504";"1608";"65329";"????";"¾Æµê7²ãÌ½²âÆ÷";"705ÑÌ¸Ð";"X";"0000";"-";"LOG";"05:002:004:001";"0";"255"
"95";"2";"1609";"1601";"471";"0";"ZONE";"¾Æµê7²ãÌ½²âÆ÷";"706ÑÌ¸Ð";"A";"0952";"-";"LOG";"05:002:005:000";"0";"255"
