"0";"2";"23-OCT-2017 09:38:32";"CC11LIST V0734";"C:\Users\Administrator\Desktop\泰州万达希尔顿酒店170217\DCR001C.DAT";"ISOLATIN-1";"";"";"";"";"";"";"";"";"";""
"53";"2";"2176";"1504";"1972";"59371";"????";"酒店地下二层探测器";"洗衣房温感西5";"X";"0000";"-";"LOG";"01:001:023:001";"0";"255"
"54";"2";"1973";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"洗衣房温感东中1";"A";"0B40";"-";"LOG";"01:001:024:000";"0";"255"
"55";"2";"2175";"1504";"1973";"59372";"????";"酒店地下二层探测器";"洗衣房温感东中1";"X";"0000";"-";"LOG";"01:001:024:001";"0";"255"
"56";"2";"1974";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"洗衣房温感东5";"A";"0B41";"-";"LOG";"01:001:025:000";"0";"255"
"57";"2";"2174";"1504";"1974";"59373";"????";"酒店地下二层探测器";"洗衣房温感东5";"X";"0000";"-";"LOG";"01:001:025:001";"0";"255"
"58";"2";"1975";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"洗衣房温感东4";"A";"0B42";"-";"LOG";"01:001:026:000";"0";"255"
"59";"2";"2173";"1504";"1975";"59379";"????";"酒店地下二层探测器";"洗衣房温感东4";"X";"0000";"-";"LOG";"01:001:026:001";"0";"255"
"60";"2";"1976";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"洗衣房温感东3";"A";"0B43";"-";"LOG";"01:001:027:000";"0";"255"
"61";"2";"2172";"1504";"1976";"59380";"????";"酒店地下二层探测器";"洗衣房温感东3";"X";"0000";"-";"LOG";"01:001:027:001";"0";"255"
"62";"2";"1977";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"洗衣房温感东2";"A";"0B44";"-";"LOG";"01:001:028:000";"0";"255"
"63";"2";"2171";"1504";"1977";"59381";"????";"酒店地下二层探测器";"洗衣房温感东2";"X";"0000";"-";"LOG";"01:001:028:001";"0";"255"
"64";"2";"1978";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"洗衣房温感东1";"A";"0B45";"-";"LOG";"01:001:029:000";"0";"255"
"65";"2";"2170";"1504";"1978";"59382";"????";"酒店地下二层探测器";"洗衣房温感东1";"X";"0000";"-";"LOG";"01:001:029:001";"0";"255"
"66";"2";"1979";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"洗衣房温感东中4";"A";"0B46";"-";"LOG";"01:001:030:000";"0";"255"
"67";"2";"2169";"1504";"1979";"59383";"????";"酒店地下二层探测器";"洗衣房温感东中4";"X";"0000";"-";"LOG";"01:001:030:001";"0";"255"
"68";"2";"1980";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"洗衣服办公室烟感";"A";"0B47";"-";"LOG";"01:001:031:000";"0";"255"
"69";"2";"2168";"1504";"1980";"59384";"????";"酒店地下二层探测器";"洗衣服办公室烟感";"X";"0000";"-";"LOG";"01:001:031:001";"0";"255"
"70";"2";"1981";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"洗衣房温感西中2";"A";"0B48";"-";"LOG";"01:001:032:000";"0";"255"
"71";"2";"2167";"1504";"1981";"59385";"????";"酒店地下二层探测器";"洗衣房温感西中2";"X";"0000";"-";"LOG";"01:001:032:001";"0";"255"
"72";"2";"1982";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"洗衣房温感东中3";"A";"0B49";"-";"LOG";"01:001:033:000";"0";"255"
"73";"2";"2166";"1504";"1982";"59414";"????";"酒店地下二层探测器";"洗衣房温感东中3";"X";"0000";"-";"LOG";"01:001:033:001";"0";"255"
"74";"2";"1983";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"洗衣房温感东中2";"A";"0B4A";"-";"LOG";"01:001:034:000";"0";"255"
"75";"2";"2165";"1504";"1983";"59415";"????";"酒店地下二层探测器";"洗衣房温感东中2";"X";"0000";"-";"LOG";"01:001:034:001";"0";"255"
"76";"2";"1984";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"洗衣房空缩机房烟感";"A";"0B4B";"-";"LOG";"01:001:035:000";"0";"255"
"77";"2";"2164";"1504";"1984";"59416";"????";"酒店地下二层探测器";"洗衣房空缩机房烟感";"X";"0000";"-";"LOG";"01:001:035:001";"0";"255"
"78";"2";"4849";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"核心筒东北楼梯间烟感";"A";"1A4B";"-";"LOG";"01:001:036:000";"0";"255"
"79";"2";"4850";"1504";"4849";"59326";"????";"酒店地下二层探测器";"核心筒东北楼梯间烟感";"X";"0000";"-";"LOG";"01:001:036:001";"0";"255"
"80";"2";"1985";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"洗衣房温感西中1";"A";"0B4C";"-";"LOG";"01:001:037:000";"0";"255"
"81";"2";"2163";"1504";"1985";"59418";"????";"酒店地下二层探测器";"洗衣房温感西中1";"X";"0000";"-";"LOG";"01:001:037:001";"0";"255"
"82";"2";"1986";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"洗衣房化学品库烟感";"A";"0B4D";"-";"LOG";"01:001:038:000";"0";"255"
"83";"2";"2162";"1504";"1986";"59417";"????";"酒店地下二层探测器";"洗衣房化学品库烟感";"X";"0000";"-";"LOG";"01:001:038:001";"0";"255"
"84";"2";"1987";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"核心筒东北楼梯前室烟感";"A";"0B4E";"-";"LOG";"01:001:039:000";"0";"255"
"85";"2";"2161";"1504";"1987";"59327";"????";"酒店地下二层探测器";"核心筒东北楼梯前室烟感";"X";"0000";"-";"LOG";"01:001:039:001";"0";"255"
"86";"2";"1988";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"洗衣房温感西4";"A";"0B4F";"-";"LOG";"01:001:040:000";"0";"255"
"87";"2";"2160";"1504";"1988";"59420";"????";"酒店地下二层探测器";"洗衣房温感西4";"X";"0000";"-";"LOG";"01:001:040:001";"0";"255"
"88";"2";"1989";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"洗衣房温感西3";"A";"0B50";"-";"LOG";"01:001:041:000";"0";"255"
"89";"2";"2159";"1504";"1989";"59421";"????";"酒店地下二层探测器";"洗衣房温感西3";"X";"0000";"-";"LOG";"01:001:041:001";"0";"255"
"90";"2";"1990";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"洗衣房温感西2";"A";"0B51";"-";"LOG";"01:001:042:000";"0";"255"
"91";"2";"2158";"1504";"1990";"59422";"????";"酒店地下二层探测器";"洗衣房温感西2";"X";"0000";"-";"LOG";"01:001:042:001";"0";"255"
"92";"2";"1991";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"洗衣房温感西1";"A";"0B52";"-";"LOG";"01:001:043:000";"0";"255"
"93";"2";"2157";"1504";"1991";"59423";"????";"酒店地下二层探测器";"洗衣房温感西1";"X";"0000";"-";"LOG";"01:001:043:001";"0";"255"
"94";"2";"1992";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"客梯前室烟感";"A";"0B53";"-";"LOG";"01:001:044:000";"0";"255"
"95";"2";"2156";"1504";"1992";"59443";"????";"酒店地下二层探测器";"客梯前室烟感";"X";"0000";"-";"LOG";"01:001:044:001";"0";"255"
"96";"2";"1993";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"污水机房烟感";"A";"0B54";"-";"LOG";"01:001:045:000";"0";"255"
"97";"2";"2155";"1504";"1993";"59445";"????";"酒店地下二层探测器";"污水机房烟感";"X";"0000";"-";"LOG";"01:001:045:001";"0";"255"
"98";"2";"1994";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"污衣间烟感";"A";"0B55";"-";"LOG";"01:001:046:000";"0";"255"
"99";"2";"2154";"1504";"1994";"59446";"????";"酒店地下二层探测器";"污衣间烟感";"X";"0000";"-";"LOG";"01:001:046:001";"0";"255"
"100";"2";"1995";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"强电井烟感";"A";"0B56";"-";"LOG";"01:001:047:000";"0";"255"
"101";"2";"2153";"1504";"1995";"59447";"????";"酒店地下二层探测器";"强电井烟感";"X";"0000";"-";"LOG";"01:001:047:001";"0";"255"
"102";"2";"1996";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"消防电梯前室烟感";"A";"0B57";"-";"LOG";"01:001:048:000";"0";"255"
"103";"2";"2152";"1504";"1996";"59450";"????";"酒店地下二层探测器";"消防电梯前室烟感";"X";"0000";"-";"LOG";"01:001:048:001";"0";"255"
"104";"2";"4847";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"核心筒西南楼梯间烟感";"A";"1A49";"-";"LOG";"01:001:049:000";"0";"255"
"105";"2";"4848";"1504";"4847";"59449";"????";"酒店地下二层探测器";"核心筒西南楼梯间烟感";"X";"0000";"-";"LOG";"01:001:049:001";"0";"255"
"106";"2";"1997";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"排风机房门口烟感";"A";"0B58";"-";"LOG";"01:001:050:000";"0";"255"
"107";"2";"2151";"1504";"1997";"59465";"????";"酒店地下二层探测器";"排风机房门口烟感";"X";"0000";"-";"LOG";"01:001:050:001";"0";"255"
"108";"2";"1998";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"排风机房烟感";"A";"0B59";"-";"LOG";"01:001:051:000";"0";"255"
"109";"2";"2150";"1504";"1998";"59328";"????";"酒店地下二层探测器";"排风机房烟感";"X";"0000";"-";"LOG";"01:001:051:001";"0";"255"
